eps,pure,approx,base_comp,base_comp_ADP,m
0.5,1629450.6448626018,160505.69988029287,73419.7941143576,5878.928619975643,379
1.0,797525.2415595452,77346.45640843415,36709.8970571788,2939.4643099878217,379
2.0,398762.6207797726,38673.22820421708,18354.9485285894,1469.7321549939109,379
4.0,209055.9981564008,22890.361218872797,9177.4742642947,734.8660774969554,379
