epsilon,pure_DP_error,pure_DP_std,approx_DP_error,approx_DP_std,base_comp_error,base_comp_std,base_comp_ADP_error,base_comp_ADP_std
0.5,1693.1705,1528.7441,116816.1681,98344.009,13266.835,14983.1169,207894.6723,248730.8993
1.0,480.2817,477.3087,17109.2671,14679.8759,6775.0766,8105.8879,24778.2641,28619.1839
1.5,288.6859,260.4191,6834.0373,5047.0496,4459.4784,5150.7495,8526.0036,10061.2345
2.0,235.3531,204.4327,2938.4419,2037.9,3376.9605,3985.0313,3642.7844,4269.8112
2.5,237.318,213.1946,1391.3519,1367.4171,2698.6135,3163.1216,2242.2398,2610.198
3.0,172.4599,159.8203,1022.547,763.2214,2239.9202,2607.4976,1023.3828,1222.3245
3.5,134.1484,119.2132,590.768,419.3276,1934.9079,2311.0467,806.9116,950.6878
4.0,134.3547,104.7161,371.3513,359.5307,1675.8496,1974.4539,690.2317,816.464
