epsilon,pure_DP_error,pure_DP_std,approx_DP_error,approx_DP_std,base_comp_error,base_comp_std,base_comp_ADP_error,base_comp_ADP_std
0.5,0.0179,0.014,0.0162,0.0119,0.8494,0.8485,0.0297,0.0296
1.0,0.0101,0.0074,0.0059,0.0045,0.4214,0.4232,0.0149,0.015
1.5,0.0055,0.0043,0.0041,0.0033,0.2825,0.2822,0.0099,0.0099
2.0,0.0043,0.0034,0.0044,0.003,0.2112,0.2111,0.0074,0.0074
2.5,0.0052,0.0036,0.0034,0.0023,0.1682,0.1693,0.006,0.006
3.0,0.003,0.0024,0.0033,0.002,0.1413,0.1423,0.005,0.005
3.5,0.0025,0.002,0.0016,0.0013,0.1222,0.1228,0.0043,0.0043
4.0,0.0021,0.0017,0.0039,0.0018,0.1065,0.1065,0.0037,0.0037
