epsilon,pure_DP_error,pure_DP_std,approx_DP_error,approx_DP_std,base_comp_error,base_comp_std,base_comp_ADP_error,base_comp_ADP_std
0.5,1382.1865441780874,1207.780531217936,156162.60031661353,131321.82643024056,13329.26656879806,15313.136671604574,192493.46123566056,221223.63480898493
1.0,691.0932720890437,603.890265608968,20596.62639228724,17303.37367234243,6655.350992594596,7648.680261969372,25806.984274968196,30184.61665271106
1.5,460.7288480593633,402.5935104059765,6473.061707040121,5432.301260514981,4435.231501615484,5187.578727365864,8250.002597170698,9700.378630042946
2.0,265.63432138256536,255.04448816506905,2880.4752860104586,2750.1355670490602,3346.044228433209,3934.2891770486563,4209.25720977981,4909.519104141412
2.5,212.50745710605275,204.03559053205453,1083.0967637631707,956.0360120309315,2664.0114944590464,3107.2026901352783,2173.3219126949166,2470.731948164713
3.0,177.0895475883769,170.02965877671252,873.640723970702,906.3552501153871,2218.929900029523,2522.581198264677,1278.4058245057342,1470.82259655373
3.5,151.79104079003739,145.7397075228965,590.2632616463682,611.6783839668743,1901.7124044050408,2187.94495685819,816.4426273778678,961.9033026599698
4.0,137.20169438457745,115.22964607866047,507.40443116675283,433.4305225882521,1683.2810282692496,1983.1810908712926,587.5695763062819,682.2946520062872
